�(Nm),532,655,532,655,532,655,532,655,532,655
Distance(Cm),10,10,50,50,100,100,200,200,500,500
Time(s),Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux
0,17607.1582,22782.08984,21483.40039,27510.90625,311948.7188,27624.91211,159040.4063,19198.30078,69673.70313,8292.03125
0.05,17607.1582,22846.52734,21681.67188,27535.68945,311943.75,27614.99805,156130.7344,19287.52344,71760.53125,8214.862305
0.1,17602.20117,23044.80078,21820.46484,27550.56055,311943.75,27614.99805,170916.9688,19693.98438,69931.46094,8277.511719
0.15,17607.1582,23178.63477,21845.24805,27530.73242,311943.75,27610.04297,169762.0313,19401.53125,69956.24219,8391.87207
0.2,17612.11523,23763.54102,21845.24805,27510.90625,311943.75,27610.04297,160482.8438,19262.74023,70432.10156,8390.28125
0.25,17631.94141,24155.13086,21855.16211,27520.81836,311943.75,27614.99805,162401.125,18548.95508,69019.39844,8401.418945
0.3,17651.76953,24075.82227,21865.07617,27565.42969,311948.7188,27610.04297,169231.6563,18429.99219,73460.71875,8392.667969
0.35,17701.33789,24279.05273,21894.81641,27595.17188,311953.6875,27614.99805,166287.2969,18558.86914,79265.17188,8372.580078
0.4,17716.20898,24184.87305,21919.60156,27590.21484,311958.625,27605.08594,165737.0938,18633.22266,85228.23438,8400.424805
0.45,17726.12109,24249.31055,21919.60156,27595.17188,311978.4688,27610.04297,166450.875,18702.61719,84326.09375,8381.331055
0.5,17731.07813,24174.95898,21924.55664,27585.25781,311988.375,27610.04297,161697.2656,18509.30078,90928.59375,8339.56543
0.55,17731.07813,24150.17383,21924.55664,27590.21484,311993.3438,27605.08594,168483.1719,18162.32227,85917.23438,8349.509766
0.6,17696.38086,24075.82227,21894.81641,27595.17188,311998.2813,27610.04297,162891.875,18291.20117,85406.67969,8360.647461
0.65,17587.33008,24150.17383,22053.43555,27634.82617,312013.1563,27605.08594,163010.8281,18296.1582,84737.50781,8333.796875
0.7,17428.71289,24303.83594,22261.62109,27619.95508,311993.3438,27605.08594,161196.625,18390.33789,84445.05469,8329.620117
